image,label,step
Train_Data/Fire/F_951.jpg,1,train
Train_Data/Fire/F_381.jpg,1,train
Train_Data/Fire/F_455.jpg,1,train
Train_Data/Fire/F_1415.jpg,1,train
Train_Data/Fire/F_2462.jpg,1,train
Train_Data/Fire/F_668.jpg,1,train
Train_Data/Fire/F_1175.jpg,1,train
Train_Data/Fire/F_2078.jpg,1,train
Train_Data/Fire/F_1069.jpg,1,train
Train_Data/Fire/F_1312.jpg,1,train
Train_Data/Fire/F_1270.jpg,1,train
Train_Data/Fire/F_1023.jpg,1,train
Train_Data/Fire/F_2029.jpg,1,train
Train_Data/Fire/F_2172.jpg,1,train
Train_Data/Fire/F_2305.jpg,1,train
Train_Data/Fire/F_158.jpg,1,train
Train_Data/Fire/F_1849.jpg,1,train
Train_Data/Fire/F_1988.jpg,1,train
Train_Data/Fire/F_2408.jpg,1,train
Train_Data/Fire/F_1228.jpg,1,train
Train_Data/Fire/F_1799.jpg,1,train
Train_Data/Fire/F_2203.jpg,1,train
Train_Data/Fire/F_904.jpg,1,train
Train_Data/Fire/F_1608.jpg,1,train
Train_Data/Fire/F_899.jpg,1,train
Train_Data/Fire/F_340.jpg,1,train
Train_Data/Fire/F_887.jpg,1,train
Train_Data/Fire/F_445.jpg,1,train
Train_Data/Fire/F_113.jpg,1,train
Train_Data/Fire/F_390.jpg,1,train
Train_Data/Fire/F_856.jpg,1,train
Train_Data/Fire/F_90.jpg,1,train
Train_Data/Fire/F_2217.jpg,1,train
Train_Data/Fire/F_264.jpg,1,train
Train_Data/Fire/F_1074.jpg,1,train
Train_Data/Fire/F_1396.jpg,1,train
Train_Data/Fire/F_216.jpg,1,train
Train_Data/Fire/F_1256.jpg,1,train
Train_Data/Fire/F_234.jpg,1,train
Train_Data/Fire/F_6.jpg,1,train
Train_Data/Fire/F_1469.jpg,1,train
Train_Data/Fire/F_2181.jpg,1,train
Train_Data/Fire/F_1733.jpg,1,train
Train_Data/Fire/F_2499.jpg,1,train
Train_Data/Fire/F_874.jpg,1,train
Train_Data/Fire/F_454.jpg,1,train
Train_Data/Fire/F_859.jpg,1,train
Train_Data/Fire/F_757.jpg,1,train
Train_Data/Fire/F_514.jpg,1,train
Train_Data/Fire/F_1465.jpg,1,train
Train_Data/Fire/F_1188.jpg,1,train
Train_Data/Fire/F_1569.jpg,1,train
Train_Data/Fire/F_146.jpg,1,train
Train_Data/Fire/F_1474.jpg,1,train
Train_Data/Fire/F_1237.jpg,1,train
Train_Data/Fire/F_1174.jpg,1,train
Train_Data/Fire/F_1959.jpg,1,train
Train_Data/Fire/F_690.jpg,1,train
Train_Data/Fire/F_558.jpg,1,train
Train_Data/Fire/F_1595.jpg,1,train
Train_Data/Fire/F_1637.jpg,1,train
Train_Data/Fire/F_1727.jpg,1,train
Train_Data/Fire/F_2398.jpg,1,train
Train_Data/Fire/F_322.jpg,1,train
Train_Data/Fire/F_153.jpg,1,train
Train_Data/Fire/F_592.jpg,1,train
Train_Data/Fire/F_2469.jpg,1,train
Train_Data/Fire/F_294.jpg,1,train
Train_Data/Fire/F_192.jpg,1,train
Train_Data/Fire/F_1628.jpg,1,train
Train_Data/Fire/F_565.jpg,1,train
Train_Data/Fire/F_1721.jpg,1,train
Train_Data/Fire/F_1759.jpg,1,train
Train_Data/Fire/F_2435.jpg,1,train
Train_Data/Fire/F_620.jpg,1,train
Train_Data/Fire/F_773.jpg,1,train
Train_Data/Fire/F_1980.jpg,1,train
Train_Data/Fire/F_1164.jpg,1,train
Train_Data/Fire/F_1926.jpg,1,train
Train_Data/Fire/F_2022.jpg,1,train
Train_Data/Fire/F_246.jpg,1,train
Train_Data/Fire/F_459.jpg,1,train
Train_Data/Fire/F_2472.jpg,1,train
Train_Data/Fire/F_2288.jpg,1,train
Train_Data/Fire/F_1348.jpg,1,train
Train_Data/Fire/F_478.jpg,1,train
Train_Data/Fire/F_846.jpg,1,train
Train_Data/Fire/F_1096.jpg,1,train
Train_Data/Fire/F_1073.jpg,1,train
Train_Data/Fire/F_1797.jpg,1,train
Train_Data/Fire/F_932.jpg,1,train
Train_Data/Fire/F_225.jpg,1,train
Train_Data/Fire/F_1001.jpg,1,train
Train_Data/Fire/F_2452.jpg,1,train
Train_Data/Fire/F_2411.jpg,1,train
Train_Data/Fire/F_273.jpg,1,train
Train_Data/Fire/F_507.jpg,1,train
Train_Data/Fire/F_1190.jpg,1,train
Train_Data/Fire/F_23.jpg,1,train
Train_Data/Fire/F_472.jpg,1,train
Train_Data/Fire/F_482.jpg,1,train
Train_Data/Fire/F_2330.jpg,1,train
Train_Data/Fire/F_1698.jpg,1,train
Train_Data/Fire/F_1425.jpg,1,train
Train_Data/Fire/F_1223.jpg,1,train
Train_Data/Fire/F_100.jpg,1,train
Train_Data/Fire/F_946.jpg,1,train
Train_Data/Fire/F_714.jpg,1,train
Train_Data/Fire/F_1092.jpg,1,train
Train_Data/Fire/F_2312.jpg,1,train
Train_Data/Fire/F_860.jpg,1,train
Train_Data/Fire/F_2306.jpg,1,train
Train_Data/Fire/F_176.jpg,1,train
Train_Data/Fire/F_718.jpg,1,train
Train_Data/Fire/F_747.jpg,1,train
Train_Data/Fire/F_1869.jpg,1,train
Train_Data/Fire/F_1060.jpg,1,train
Train_Data/Fire/F_2334.jpg,1,train
Train_Data/Fire/F_318.jpg,1,train
Train_Data/Fire/F_2409.jpg,1,train
Train_Data/Fire/F_2044.jpg,1,train
Train_Data/Fire/F_1331.jpg,1,train
Train_Data/Fire/F_2100.jpg,1,train
Train_Data/Fire/F_1781.jpg,1,train
Train_Data/Fire/F_758.jpg,1,train
Train_Data/Fire/F_173.jpg,1,train
Train_Data/Fire/F_1699.jpg,1,train
Train_Data/Fire/F_2.jpg,1,train
Train_Data/Fire/F_1194.jpg,1,train
Train_Data/Fire/F_144.jpg,1,train
Train_Data/Fire/F_1722.jpg,1,train
Train_Data/Fire/F_1654.jpg,1,train
Train_Data/Fire/F_1020.jpg,1,train
Train_Data/Fire/F_1994.jpg,1,train
Train_Data/Fire/F_1566.jpg,1,train
Train_Data/Fire/F_248.jpg,1,train
Train_Data/Fire/F_970.jpg,1,train
Train_Data/Fire/F_1524.jpg,1,train
Train_Data/Fire/F_616.jpg,1,train
Train_Data/Fire/F_2361.jpg,1,train
Train_Data/Fire/F_1542.jpg,1,train
Train_Data/Fire/F_827.jpg,1,train
Train_Data/Fire/F_2294.jpg,1,train
Train_Data/Fire/F_453.jpg,1,train
Train_Data/Fire/F_804.jpg,1,train
Train_Data/Fire/F_601.jpg,1,train
Train_Data/Fire/F_788.jpg,1,train
Train_Data/Fire/F_2449.jpg,1,train
Train_Data/Fire/F_1984.jpg,1,train
Train_Data/Fire/F_2388.jpg,1,train
Train_Data/Fire/F_1110.jpg,1,train
Train_Data/Fire/F_710.jpg,1,train
Train_Data/Fire/F_2101.jpg,1,train
Train_Data/Fire/F_189.jpg,1,train
Train_Data/Fire/F_160.jpg,1,train
Train_Data/Fire/F_2366.jpg,1,train
Train_Data/Fire/F_2436.jpg,1,train
Train_Data/Fire/F_2146.jpg,1,train
Train_Data/Fire/F_1925.jpg,1,train
Train_Data/Fire/F_1791.jpg,1,train
Train_Data/Fire/F_52.jpg,1,train
Train_Data/Fire/F_427.jpg,1,train
Train_Data/Fire/F_1344.jpg,1,train
Train_Data/Fire/F_442.jpg,1,train
Train_Data/Fire/F_1422.jpg,1,train
Train_Data/Fire/F_1368.jpg,1,train
Train_Data/Fire/F_2010.jpg,1,train
Train_Data/Fire/F_765.jpg,1,train
Train_Data/Fire/F_2042.jpg,1,train
Train_Data/Fire/F_200.jpg,1,train
Train_Data/Fire/F_1509.jpg,1,train
Train_Data/Fire/F_999.jpg,1,train
