epoch,step,train_loss,val_acc,val_f1,val_loss,val_prec,val_rec
0,49,0.013251732103526592,,,,,
0,99,0.015291919931769371,,,,,
0,144,,0.9714531302452087,0.9689034223556519,0.058552876114845276,0.9673202633857727,0.9704918265342712
1,149,0.003376724198460579,,,,,
1,199,0.0031815180554986,,,,,
1,249,0.012857386842370033,,,,,
1,289,,0.993775486946106,0.9932100176811218,0.0294015035033226,0.992977499961853,0.9934425950050354
2,299,0.007505472749471664,,,,,
2,349,0.004897542297840118,,,,,
2,399,0.018250925466418266,,,,,
2,434,,0.9978536367416382,0.9976580739021301,0.030522966757416725,0.9976580739021301,0.9976580739021301
3,449,0.004319210536777973,,,,,
3,499,0.008797260001301765,,,,,
3,549,0.0004894568701274693,,,,,
3,579,,0.997639000415802,0.9974232912063599,0.012476462870836258,0.9976570010185242,0.9971897006034851
4,599,0.0009941927855834365,,,,,
4,649,0.016168517991900444,,,,,
4,699,0.0003006278129760176,,,,,
4,724,,0.9991414546966553,0.9990627765655518,0.02322354167699814,0.9995311498641968,0.9985948204994202
5,749,0.0048383912071585655,,,,,
5,799,0.0026153409853577614,,,,,
5,849,0.0004262368893250823,,,,,
5,869,,0.9991414546966553,0.99906325340271,0.04103725776076317,0.99906325340271,0.99906325340271
6,899,0.0007264957530423999,,,,,
6,949,0.00023773738939780742,,,,,
6,999,0.0010642658453434706,,,,,
6,1014,,0.9997853636741638,0.9997658729553223,0.0374840646982193,0.9995318055152893,1.0
7,1049,0.0005312651046551764,,,,,
7,1099,0.0004043769440613687,,,,,
7,1149,0.0013143578544259071,,,,,
7,1159,,0.9987121820449829,0.9985941648483276,0.06757722795009613,0.9990623593330383,0.9981264472007751
8,1199,0.0007299192948266864,,,,,
8,1249,0.0006425601313821971,,,,,
8,1299,0.011794501915574074,,,,,
8,1304,,0.995063304901123,0.9946173429489136,0.07767612487077713,0.9939195513725281,0.9953161478042603
9,1349,0.007634793408215046,,,,,
9,1399,0.0023828872945159674,,,,,
9,1449,0.48561644554138184,,,,,
9,1449,,0.9963511228561401,0.9960196614265442,0.048874106258153915,0.9957864880561829,0.9962529540061951
